ts,index_record,heading,lat,lng,positionTime,h_positionTime,h_receiveTime
1622119980887,7,190,21.03542,105.7803,1622119980,2021-05-27 19:53:00,2021-05-27 19:53:00
1622119988888,0,190,21.03533,105.78028,1622119981,2021-05-27 19:53:01,2021-05-27 19:53:08
1622119988888,1,190,21.03524,105.78027,1622119982,2021-05-27 19:53:02,2021-05-27 19:53:08
1622119988888,2,189,21.03515,105.78025,1622119983,2021-05-27 19:53:03,2021-05-27 19:53:08
1622119988888,3,190,21.03505,105.78023,1622119984,2021-05-27 19:53:04,2021-05-27 19:53:08
1622119988888,4,190,21.03495,105.78021,1622119985,2021-05-27 19:53:05,2021-05-27 19:53:08
1622119988888,5,191,21.03485,105.78019,1622119986,2021-05-27 19:53:06,2021-05-27 19:53:08
1622119988888,6,191,21.03476,105.78017,1622119987,2021-05-27 19:53:07,2021-05-27 19:53:08
1622119988888,7,190,21.03465,105.78015,1622119988,2021-05-27 19:53:08,2021-05-27 19:53:08
1622119996911,0,190,21.03455,105.78013,1622119989,2021-05-27 19:53:09,2021-05-27 19:53:16
1622119996911,1,190,21.03446,105.78011,1622119990,2021-05-27 19:53:10,2021-05-27 19:53:16
1622119996911,2,190,21.03435,105.78008,1622119991,2021-05-27 19:53:11,2021-05-27 19:53:16
1622119996911,3,190,21.03425,105.78007,1622119992,2021-05-27 19:53:12,2021-05-27 19:53:16
1622119996911,4,189,21.03415,105.78005,1622119993,2021-05-27 19:53:13,2021-05-27 19:53:16
1622119996911,5,189,21.03404,105.78004,1622119994,2021-05-27 19:53:14,2021-05-27 19:53:16
1622119996911,6,189,21.03394,105.78001,1622119995,2021-05-27 19:53:15,2021-05-27 19:53:16
1622119996911,7,189,21.03384,105.78,1622119996,2021-05-27 19:53:16,2021-05-27 19:53:16
1622120004915,0,189,21.03373,105.77998,1622119997,2021-05-27 19:53:17,2021-05-27 19:53:24
1622120004915,1,189,21.03362,105.77996,1622119998,2021-05-27 19:53:18,2021-05-27 19:53:24
1622120004915,2,189,21.03352,105.77994,1622119999,2021-05-27 19:53:19,2021-05-27 19:53:24
1622120004915,3,189,21.03342,105.77992,1622120000,2021-05-27 19:53:20,2021-05-27 19:53:24
1622120004915,4,190,21.03332,105.77991,1622120001,2021-05-27 19:53:21,2021-05-27 19:53:24
1622120004915,5,190,21.03323,105.77989,1622120002,2021-05-27 19:53:22,2021-05-27 19:53:24
1622120004915,6,189,21.03315,105.77988,1622120003,2021-05-27 19:53:23,2021-05-27 19:53:24
1622120004915,7,187,21.03308,105.77987,1622120004,2021-05-27 19:53:24,2021-05-27 19:53:24
1622120013072,0,187,21.033,105.77985,1622120005,2021-05-27 19:53:25,2021-05-27 19:53:33
1622120013072,1,186,21.03292,105.77985,1622120006,2021-05-27 19:53:26,2021-05-27 19:53:33
1622120013072,2,186,21.03283,105.77984,1622120007,2021-05-27 19:53:27,2021-05-27 19:53:33
1622120013072,3,185,21.03273,105.77982,1622120008,2021-05-27 19:53:28,2021-05-27 19:53:33
1622120013072,4,186,21.03263,105.77982,1622120009,2021-05-27 19:53:29,2021-05-27 19:53:33
1622120013072,5,185,21.03252,105.7798,1622120010,2021-05-27 19:53:30,2021-05-27 19:53:33
1622120013072,6,186,21.0324,105.77979,1622120011,2021-05-27 19:53:31,2021-05-27 19:53:33
1622120013072,7,185,21.03229,105.77978,1622120012,2021-05-27 19:53:32,2021-05-27 19:53:33
1622120020894,0,185,21.03217,105.77976,1622120013,2021-05-27 19:53:33,2021-05-27 19:53:40
1622120020894,1,184,21.03205,105.77975,1622120014,2021-05-27 19:53:34,2021-05-27 19:53:40
1622120020894,2,185,21.03193,105.77974,1622120015,2021-05-27 19:53:35,2021-05-27 19:53:40
1622120020894,3,187,21.03181,105.77972,1622120016,2021-05-27 19:53:36,2021-05-27 19:53:40
1622120020894,4,188,21.03169,105.7797,1622120017,2021-05-27 19:53:37,2021-05-27 19:53:40
1622120020894,5,190,21.03157,105.77968,1622120018,2021-05-27 19:53:38,2021-05-27 19:53:40
1622120020894,6,190,21.03145,105.77965,1622120019,2021-05-27 19:53:39,2021-05-27 19:53:40
1622120020894,7,190,21.03133,105.77963,1622120020,2021-05-27 19:53:40,2021-05-27 19:53:40
1622120028874,0,190,21.03121,105.7796,1622120021,2021-05-27 19:53:41,2021-05-27 19:53:48
1622120028874,1,189,21.03109,105.77959,1622120022,2021-05-27 19:53:42,2021-05-27 19:53:48
1622120028874,2,190,21.03098,105.77956,1622120023,2021-05-27 19:53:43,2021-05-27 19:53:48
1622120028874,3,188,21.03086,105.77954,1622120024,2021-05-27 19:53:44,2021-05-27 19:53:48
1622120028874,4,188,21.03075,105.77953,1622120025,2021-05-27 19:53:45,2021-05-27 19:53:48
1622120028874,5,189,21.03064,105.7795,1622120026,2021-05-27 19:53:46,2021-05-27 19:53:48
1622120028874,6,189,21.03053,105.77948,1622120027,2021-05-27 19:53:47,2021-05-27 19:53:48
1622120028874,7,188,21.03042,105.77946,1622120028,2021-05-27 19:53:48,2021-05-27 19:53:48
1622120036890,0,186,21.03031,105.77945,1622120029,2021-05-27 19:53:49,2021-05-27 19:53:56
1622120036890,1,184,21.0302,105.77944,1622120030,2021-05-27 19:53:50,2021-05-27 19:53:56
1622120036890,2,185,21.03007,105.77943,1622120031,2021-05-27 19:53:51,2021-05-27 19:53:56
1622120036890,3,187,21.02995,105.7794,1622120032,2021-05-27 19:53:52,2021-05-27 19:53:56
1622120036890,4,187,21.02982,105.77939,1622120033,2021-05-27 19:53:53,2021-05-27 19:53:56
1622120036890,5,188,21.02968,105.77937,1622120034,2021-05-27 19:53:54,2021-05-27 19:53:56
1622120036890,6,187,21.02954,105.77935,1622120035,2021-05-27 19:53:55,2021-05-27 19:53:56
1622120036890,7,187,21.0294,105.77934,1622120036,2021-05-27 19:53:56,2021-05-27 19:53:56
1622120044905,0,188,21.02925,105.77931,1622120037,2021-05-27 19:53:57,2021-05-27 19:54:04
1622120044905,1,188,21.02911,105.77929,1622120038,2021-05-27 19:53:58,2021-05-27 19:54:04
1622120044905,2,189,21.02897,105.77926,1622120039,2021-05-27 19:53:59,2021-05-27 19:54:04
1622120044905,3,188,21.02883,105.77924,1622120040,2021-05-27 19:54:00,2021-05-27 19:54:04
1622120044905,4,188,21.02869,105.77921,1622120041,2021-05-27 19:54:01,2021-05-27 19:54:04
1622120044905,5,187,21.02855,105.77919,1622120042,2021-05-27 19:54:02,2021-05-27 19:54:04
1622120044905,6,188,21.02841,105.77915,1622120043,2021-05-27 19:54:03,2021-05-27 19:54:04
1622120044905,7,189,21.02826,105.77913,1622120044,2021-05-27 19:54:04,2021-05-27 19:54:04
1622120052908,0,189,21.02811,105.77911,1622120045,2021-05-27 19:54:05,2021-05-27 19:54:12
1622120052908,1,189,21.02796,105.77908,1622120046,2021-05-27 19:54:06,2021-05-27 19:54:12
1622120052908,2,189,21.02782,105.77905,1622120047,2021-05-27 19:54:07,2021-05-27 19:54:12
1622120052908,3,189,21.02766,105.77903,1622120048,2021-05-27 19:54:08,2021-05-27 19:54:12
1622120052908,4,189,21.02751,105.77901,1622120049,2021-05-27 19:54:09,2021-05-27 19:54:12
1622120052908,5,189,21.02736,105.77898,1622120050,2021-05-27 19:54:10,2021-05-27 19:54:12
1622120052908,6,189,21.0272,105.77895,1622120051,2021-05-27 19:54:11,2021-05-27 19:54:12
1622120052908,7,188,21.02704,105.77893,1622120052,2021-05-27 19:54:12,2021-05-27 19:54:12
1622120060990,0,188,21.02688,105.77891,1622120053,2021-05-27 19:54:13,2021-05-27 19:54:20
1622120060990,1,189,21.02672,105.77888,1622120054,2021-05-27 19:54:14,2021-05-27 19:54:20
1622120060990,2,189,21.02656,105.77885,1622120055,2021-05-27 19:54:15,2021-05-27 19:54:20
1622120060990,3,189,21.0264,105.77882,1622120056,2021-05-27 19:54:16,2021-05-27 19:54:20
1622120060990,4,189,21.02624,105.77879,1622120057,2021-05-27 19:54:17,2021-05-27 19:54:20
1622120060990,5,189,21.02607,105.77877,1622120058,2021-05-27 19:54:18,2021-05-27 19:54:20
1622120060990,6,189,21.0259,105.77874,1622120059,2021-05-27 19:54:19,2021-05-27 19:54:20
1622120060990,7,189,21.02574,105.77871,1622120060,2021-05-27 19:54:20,2021-05-27 19:54:20
1622120068920,0,188,21.02557,105.77869,1622120061,2021-05-27 19:54:21,2021-05-27 19:54:28
1622120068920,1,187,21.0254,105.77866,1622120062,2021-05-27 19:54:22,2021-05-27 19:54:28
